,Title,Year completed,Type,title_len,year,id_novel
0,Sketches by Boz,1836,Short Stories,15,1836,False
1,The Pickwick Papers,1837,Novel,19,1837,True
2,The Mudfog Papers,1838,Short Stories,17,1838,False
3,Oliver Twist,1839,Novel,12,1839,True
4,Nicholas Nickleby,1839,Novel,17,1839,True
5,The Old Curiosity Shop,1841,Novel,22,1841,True
6,Barnaby Rudge,1841,Novel,13,1841,True
7,Master Humphrey's Clock,1841,Short Story,23,1841,False
8,American Notes,1842,Non-fiction Travelogue,14,1842,False
9,A Christmas Carol,1843,Novella,17,1843,false
10,Martin Chuzzlewit,1844,Novel,17,1844,true
11,The Chimes,1844,Novella,10,1844,false
12,The Cricket on the Hearth,1845,Novella,25,1845,false
13,Pictures from Italy,1846,Non-fiction Travelogue,19,1846,false
14,The Battle of Life,1846,Novella,18,1846,false
15,Dombey and Son,1848,Novel,14,1848,true
16,The Haunted Man and the Ghost's Bargain,1848,Novella,39,1848,false
17,The Haunted Man and the Ghost's Bargain,1848,Novella,39,1848,false
18,The Life of Our Lord,1849,Religious History,20,1849,false
19,David Copperfield,1850,Novel,17,1850,true
20,A Child's History of England,1853,Non-fiction History,28,1853,false
21,Bleak House,1853,Novel,11,1853,true
22,"""The Long Voyage""",1853,Short Story,17,1853,false
23,Hard Times,1854,Novel,10,1854,true
24,"""The Holly-Tree Inn""[1]",1855,Short Story,23,1855,0
25,Little Dorrit,1857,Novel,13,1857,1
26,The Lazy Tour of Two Idle Apprentices,1857,Short Story,37,1857,0
27,Reprinted Pieces,1858,Short Stories,16,1858,0
28,A Tale of Two Cities,1859,Novel,20,1859,1
29,"""The Haunted House""",1859,Short Story,19,1859,
30,Great Expectations,1861,Novel,18,1861,
31,Great Expectations,1861,Novel,18,1861,
32,"""Somebody's Luggage""[citation needed]",1862,Short Story,37,1862,False
33,Mrs Lirriper's Lodgings / Legacy[citation needed],1864,Short Stories,49,1864,False
34,Our Mutual Friend,1865,Novel,17,1865,True
35,"""The Signal-Man""",1866,Short Story,16,1866,False
36,"""No Thoroughfare""",1867,Short Story,17,1867,False
37,"""A Holiday Romance""",1868,Short Story,19,1868,False
38,The Uncommercial Traveller,1869,Short Stories and Reminiscences,26,1869,False
39,The Mystery of Edwin Drood,1870,Novel (unfinished),26,1870,False
